"","V1"
"1",11
"2",14
"3",14
"4",11
"5",11
"6",11
"7",11
"8",11
"9",11
"10",11
"11",6
"12",11
"13",11
"14",11
"15",11
"16",12
"17",15
"18",11
"19",11
"20",11
"21",14
"22",6
"23",14
"24",11
"25",11
"26",17
"27",14
"28",1
"29",11
"30",11
"31",11
"32",11
"33",17
"34",7
"35",11
"36",14
"37",14
"38",11
"39",12
"40",13
"41",14
"42",11
"43",16
"44",11
"45",11
"46",11
"47",14
"48",10
"49",11
"50",1
"51",11
"52",11
"53",12
"54",11
"55",14
"56",11
"57",12
"58",11
"59",13
"60",11
"61",11
"62",14
"63",1
"64",1
"65",6
"66",1
"67",14
"68",11
"69",4
"70",4
"71",11
"72",14
"73",17
"74",10
"75",11
"76",14
"77",14
"78",11
"79",11
"80",4
"81",4
"82",17
"83",11
"84",8
"85",11
"86",11
"87",1
"88",11
"89",4
"90",4
"91",11
"92",11
"93",11
"94",11
"95",11
"96",11
"97",11
"98",11
"99",11
"100",4
"101",6
"102",4
"103",17
"104",11
"105",1
"106",8
"107",11
"108",20
"109",1
"110",11
"111",14
"112",11
"113",11
"114",5
"115",16
"116",16
"117",4
"118",11
"119",14
"120",11
"121",11
"122",11
"123",11
"124",13
"125",20
"126",11
"127",11
"128",11
"129",3
"130",11
"131",11
"132",11
"133",14
"134",11
"135",11
"136",11
"137",11
"138",11
"139",11
"140",11
"141",11
"142",11
"143",11
"144",11
"145",11
"146",6
"147",11
"148",11
"149",11
"150",1
"151",14
"152",11
"153",11
"154",1
"155",11
"156",13
"157",17
"158",11
"159",11
"160",11
"161",11
"162",11
"163",1
"164",11
"165",11
"166",14
"167",11
"168",18
"169",17
"170",14
"171",11
"172",11
"173",14
"174",11
"175",11
"176",11
"177",19
"178",11
"179",11
"180",11
"181",1
"182",11
"183",11
"184",11
"185",19
"186",6
"187",11
"188",11
"189",11
"190",6
"191",14
"192",11
"193",14
"194",14
"195",11
"196",14
"197",11
"198",11
"199",11
"200",11
"201",11
"202",11
"203",11
"204",11
"205",11
"206",1
"207",15
"208",11
"209",11
"210",6
"211",11
"212",11
"213",11
"214",1
"215",11
"216",11
"217",6
"218",11
"219",6
"220",12
"221",11
"222",11
"223",11
"224",11
"225",6
"226",11
"227",11
"228",6
"229",6
"230",11
"231",12
"232",11
"233",11
"234",11
"235",14
"236",11
"237",12
"238",17
"239",11
"240",14
"241",11
"242",4
"243",14
"244",11
"245",15
"246",11
"247",11
"248",17
"249",1
"250",7
"251",12
"252",11
"253",1
"254",11
"255",11
"256",8
"257",11
"258",14
"259",6
"260",11
"261",11
"262",4
"263",11
"264",12
"265",2
"266",11
"267",11
"268",11
"269",11
"270",11
"271",17
"272",11
"273",11
"274",11
"275",11
"276",11
"277",11
"278",1
"279",11
"280",11
"281",11
"282",12
"283",11
"284",11
"285",19
"286",11
"287",11
"288",17
"289",11
"290",11
"291",19
"292",11
"293",14
"294",18
"295",16
"296",14
"297",1
"298",20
"299",4
"300",11
"301",2
"302",11
"303",11
"304",13
"305",1
"306",11
"307",16
"308",3
"309",12
"310",6
"311",1
"312",11
"313",11
"314",14
"315",14
"316",12
"317",11
"318",14
"319",8
"320",14
"321",11
"322",4
"323",11
"324",11
"325",11
"326",11
"327",11
"328",11
"329",4
"330",12
"331",4
"332",6
"333",11
"334",11
"335",4
"336",11
"337",11
"338",11
"339",4
"340",4
"341",11
"342",11
"343",4
"344",11
"345",14
"346",4
"347",4
"348",11
"349",4
"350",11
"351",13
"352",4
"353",4
"354",4
"355",4
"356",4
"357",11
"358",19
"359",11
"360",4
"361",4
"362",11
"363",11
"364",4
"365",11
"366",11
"367",11
"368",11
"369",14
"370",6
"371",11
"372",2
"373",11
"374",12
"375",11
"376",11
"377",14
"378",11
"379",11
"380",9
"382",11
"383",11
"384",11
"385",11
"386",4
"387",11
"388",5
"389",11
"390",11
"391",11
"392",1
"393",11
"394",16
"395",14
"396",11
"397",11
"398",11
"399",1
"400",1
"401",11
"402",19
"403",11
"404",14
"405",11
"406",11
"407",14
"408",18
"409",1
"410",11
"411",11
"412",11
"413",11
"414",11
"415",1
"416",11
"417",11
"418",11
"419",11
"420",17
"421",1
"422",1
"423",11
"424",11
"425",11
"426",15
"427",11
"428",11
"429",11
"430",11
"431",1
"432",11
"433",12
"434",1
"435",5
"436",11
"437",11
"438",1
"439",11
"440",11
"441",11
"442",11
"443",11
"444",11
"445",11
"446",11
"447",11
"448",11
"449",11
"450",11
"451",11
"452",11
"453",11
"454",11
"455",11
"456",11
"457",11
"458",11
"459",11
"460",11
"461",14
"462",8
"463",11
"464",11
"465",5
"466",4
"467",11
"468",6
"469",4
"470",11
"471",4
"472",11
"473",9
"474",1
"475",4
"476",2
"477",11
"478",12
"479",19
"480",11
"481",11
"482",6
"483",17
"484",9
"485",11
"486",6
"487",1
"488",11
"489",11
"490",11
"491",11
"492",11
"493",11
"494",11
"495",18
"496",17
"497",14
"498",11
"499",11
"500",8
"501",1
"502",17
"503",14
"504",11
"505",14
"506",11
"507",11
"508",11
"509",4
"510",17
"511",14
"512",11
"513",11
"514",1
"515",17
"516",5
"517",19
"518",11
"519",17
"520",17
"521",14
"522",2
"523",11
"524",11
"525",11
"526",11
"527",13
"528",11
"529",11
"530",11
"531",4
"532",11
"533",11
"534",11
"535",8
"536",11
"537",11
"538",11
"539",7
"540",13
"541",14
"542",11
"543",20
"544",20
"545",2
"546",12
"547",17
"548",3
"549",11
"550",14
"551",14
"552",11
"553",17
"554",11
"555",11
"556",11
"557",17
"558",11
"559",11
"560",1
"561",14
"562",5
"563",11
"564",11
"565",11
"566",11
"567",11
"568",11
"569",16
"570",4
"571",11
"572",1
"573",14
"574",11
"575",2
"576",20
"577",11
"578",4
"579",4
"580",1
"581",11
"582",14
"583",11
"584",1
"585",1
"586",7
"587",11
"588",6
"589",11
"590",11
"591",11
"592",11
"593",11
"594",14
"595",13
"596",11
"597",11
"598",11
"599",11
"600",11
"601",4
"602",4
"603",11
"604",4
"605",11
"606",16
"607",2
"608",19
"609",11
"610",4
"611",11
"612",11
"613",11
"614",11
"615",11
"616",11
"617",11
"618",1
"619",11
"620",4
"621",11
"622",11
"623",11
"624",10
"625",4
"626",11
"627",11
"628",12
"629",13
"630",1
"631",11
"632",16
"633",11
"634",14
"635",11
"636",16
"637",12
"638",1
"639",11
"640",11
"641",11
"642",11
"643",1
"644",2
"645",11
"646",11
"647",17
"648",11
"649",11
"650",1
"651",11
"652",11
"653",12
"654",11
"655",11
"656",20
"657",11
"658",11
"659",17
"660",20
"661",11
"662",11
"663",15
"664",20
"665",11
"666",1
"667",11
"668",11
"669",1
"670",11
"671",5
"672",11
"673",11
"674",1
"675",11
"676",11
"677",20
"678",11
"679",11
"680",11
"681",11
"682",8
"683",11
"684",2
"685",7
"686",16
"687",11
"688",11
"689",11
"690",11
"691",11
"692",11
"693",11
"694",6
"695",11
"696",11
"697",20
"698",20
"699",20
"700",20
"701",11
"702",11
"703",14
"704",6
"705",6
"706",11
"707",11
"708",11
"709",11
"710",11
"711",11
"712",11
"713",19
"714",17
"715",11
"716",11
"717",11
"718",11
"719",11
"720",11
"721",11
"722",11
"723",11
"724",11
"725",11
"726",11
"727",5
"728",5
"729",11
"730",11
"731",11
"732",11
"733",4
"734",11
"735",12
"736",11
"737",11
"738",11
"739",14
"740",12
"741",11
"742",11
"743",11
"744",11
"745",6
"746",11
"747",11
"748",11
"749",11
"750",14
"751",16
"752",11
"753",11
"754",11
"755",12
"756",11
"757",11
"758",17
"759",11
"760",14
"761",11
"762",11
"763",15
"764",11
"765",11
"766",11
"767",11
"768",14
"769",12
"770",11
"771",11
"772",11
"773",5
"774",13
"775",15
"776",11
"777",11
"778",11
"779",11
"780",20
"781",17
"782",11
"783",11
"784",11
"785",11
"786",11
"787",11
"788",11
"789",4
"790",17
"791",11
"792",11
"793",11
"794",8
"795",1
"796",11
"797",9
"798",11
"799",2
"800",20
"801",1
"802",11
"803",11
"804",11
"805",11
"806",11
"807",11
"808",11
"809",11
"810",17
"811",14
"812",14
"813",11
"814",1
"815",11
"816",1
"817",11
"818",11
"819",13
"820",11
"821",4
"822",11
"823",1
"824",11
"825",11
"826",19
"827",20
"828",11
"829",14
"830",15
"831",11
"832",11
"833",11
"834",11
"835",17
"836",11
"837",11
"838",11
"839",11
"840",11
"841",11
"842",11
"843",11
"844",14
"845",11
"846",11
"847",11
"848",11
"849",11
"850",11
"851",4
"852",11
"853",11
"854",11
"855",15
"856",11
"857",10
"858",19
"859",11
"860",6
"861",11
"862",16
"863",11
"864",11
"865",15
"866",11
"867",11
"868",11
"869",4
"870",11
"871",15
"872",11
"873",4
"874",11
"875",11
"876",4
"877",11
"878",11
"879",4
"880",4
"881",4
"882",4
"883",11
"884",11
"885",11
"886",11
"887",11
"888",17
"889",11
"890",11
"891",11
"892",11
"893",14
"894",1
"895",11
"896",11
"897",11
"898",11
"899",11
"900",11
"901",11
"902",17
"903",11
"904",20
"905",11
"906",11
"907",14
"908",11
"909",20
"910",11
"911",4
"912",11
"913",11
"914",20
"915",14
"916",11
"917",11
"918",11
"919",11
"920",1
"922",11
"923",11
"924",11
"925",11
"926",12
"927",17
"928",2
"929",8
"930",11
"931",11
"932",11
"933",11
"934",10
"935",11
"936",11
"937",11
"938",11
"939",10
"940",11
"941",14
"942",1
"943",6
"944",14
"945",11
"946",11
"947",11
"948",11
"949",11
"950",11
"951",11
"952",11
"953",15
"954",11
"955",1
"956",14
"957",17
"958",14
"959",11
"960",11
"961",11
"962",11
"963",11
"964",11
"965",11
"966",11
"967",11
"968",11
"969",11
"970",11
"971",11
"972",14
"973",11
"974",11
"975",11
"976",11
"977",11
"978",2
"979",11
"980",11
"981",11
"982",11
"983",16
"984",11
"985",11
"986",14
"987",11
"988",11
"989",11
"990",6
"991",11
"992",11
"993",6
"994",4
"995",11
"996",1
"997",14
"998",11
"1000",20
"1001",20
"1002",20
"1003",14
"1004",11
"1005",17
"1006",11
"1007",9
"1008",11
"1009",11
"1010",13
"1011",11
"1012",5
"1013",11
"1014",11
"1015",11
"1016",11
"1017",2
"1018",1
"1019",20
"1020",17
"1021",11
"1022",11
"1023",11
"1024",11
"1025",11
"1026",11
"1027",11
"1028",11
"1029",4
"1030",7
"1031",11
"1032",11
"1033",11
"1034",11
"1035",11
"1036",2
"1037",11
"1038",14
"1039",11
"1040",11
"1041",11
"1042",14
"1043",11
"1044",15
"1045",11
"1046",20
"1047",11
"1048",3
"1049",11
"1050",11
"1051",11
"1052",11
"1053",20
"1054",20
"1055",11
"1056",11
"1057",9
"1058",11
"1059",20
"1060",11
"1061",11
"1062",10
"1063",14
"1064",11
"1065",4
"1066",20
"1067",11
"1068",13
"1069",17
"1070",11
"1071",4
"1072",14
"1073",11
"1074",11
"1075",14
"1076",11
"1077",12
"1078",11
"1079",4
"1080",11
"1081",18
"1082",11
"1083",9
"1084",11
"1085",11
"1086",11
"1087",11
"1088",1
"1089",17
"1090",11
"1091",2
"1092",11
"1093",11
"1094",11
"1095",17
"1096",11
"1097",11
"1098",11
"1099",11
"1100",20
"1101",9
"1102",11
"1103",11
"1104",11
"1105",11
"1106",11
"1107",11
"1108",20
