"","x"
"635",0
"636",68
"637",373
"638",0
"639",15
"640",11
"641",606
"642",709
"643",15
"644",70
"645",0
"646",222
"647",464
"648",43
"649",36
"650",42
"651",93
"652",38
"653",38
"654",504
"655",368
"656",250
"657",704
"658",33
"659",64
"660",445
"661",9
"662",37
"663",15
"664",34
"665",0
"666",521
"667",44
"668",6
"669",143
"670",126
"671",26
"672",48
"673",70
"674",0
"675",0
"676",59
"677",26
"678",11
"679",14
"680",0
"681",0
"682",331
"683",1153
"684",223
"685",173
"686",209
"687",2
"688",47
"689",110
"690",37
"691",27
"692",669
"693",79
"694",462
"695",30
"696",40
"697",30
"698",22
"699",44
"700",37
"701",114
"702",805
"703",16
"704",37
"705",0
"706",97
"707",68
"708",59
"709",26
"710",20
"711",433
"712",41
"713",337
"714",47
"715",62
"716",0
"717",9
"718",53
"719",45
"720",450
"721",48
"722",11
"723",21
"724",39
"725",101
"726",62
"727",130
"728",11
"729",54
"730",0
"731",42
"732",266
"733",943
"734",18
"735",51
"736",6
"737",31
"738",0
"739",336
"740",131
"741",60
"742",93
"743",311
"744",352
"745",0
"746",424
"747",120
"748",996
"749",37
"750",86
"751",88
"752",90
"753",114
"754",169
"755",0
"756",38
"757",226
"758",9
"759",194
"760",40
"761",0
"762",47
"763",56
"764",85
"765",34
"766",0
"767",44
"768",0
"769",148
"770",36
"771",86
"772",39
"773",596
"774",93
"775",148
"776",48
"777",843
"778",50
"779",12
"780",0
"781",38
"782",105
"783",29
"784",10
"785",28
"786",10
"787",35
"788",84
"789",0
"790",82
"791",35
"792",44
"793",0
"794",14
"795",111
"796",41
"797",14
"798",110
"799",498
"800",55
"801",17
"802",653
"803",312
"804",388
"805",26
"806",278
"807",514
"808",252
"809",199
"810",421
"811",583
"812",39
"813",487
"814",0
"815",59
"816",274
"817",358
"818",36
"819",282
"820",369
"821",245
"822",348
"823",186
"824",697
"825",241
"826",319
"827",574
"828",549
"829",355
"830",452
"831",179
"832",149
"833",119
"834",386
"835",2
"836",553
"837",389
"838",284
"839",409
"840",184
"841",52
"842",569
"843",365
"844",171
"845",370
"846",249
"847",554
"848",171
"849",1608
"850",439
"851",271
"852",1569
"853",303
"854",320
"855",293
"856",244
"857",281
"858",15
"859",342
"860",335
"861",112
"862",230
"863",196
"864",127
"865",245
"866",158
"867",601
"868",562
"869",465
"870",39
"871",815
"872",415
"873",211
"874",450
"875",281
"876",270
"877",40
"878",2379
"879",338
"880",286
"881",201
"882",122
"883",400
"884",300
"885",327
"886",427
"887",213
"888",150
"889",681
"890",196
"891",374
"892",105
"893",129
"894",522
"895",560
"896",385
"897",948
"898",625
"899",283
"900",447
"901",810
"902",203
"903",254
"904",0
"905",560
"906",836
"907",134
"908",52
"909",18
"910",187
"911",482
"912",213
"913",1232
"914",36
"915",6
"916",99
"917",711
"918",186
"919",242
"920",361
"921",414
"922",436
"923",194
"924",49
"925",23
"926",251
"927",936
"928",55
"929",196
"930",729
"931",152
"932",271
"933",128
"934",695
"935",399
"936",179
"937",291
"938",394
"939",164
"940",345
"941",15
"942",113
"943",200
"944",173
"945",204
"946",221
"947",132
"948",118
"949",379
"950",288
"951",502
"952",598
"953",707
"954",231
"955",547
"956",0
"957",104
"958",637
"959",258
"960",539
"961",26
"962",285
"963",475
"964",319
"965",587
"966",370
"967",39
"968",126
"969",619
"970",195
"971",973
"972",529
"973",64
"974",545
"975",318
"976",531
"977",382
"978",1973
"979",363
"980",368
"981",623
"982",17
"983",693
"984",125
"985",56
"986",593
"987",81
"988",84
"989",494
"990",116
"991",229
"992",190
"993",251
"994",524
"995",275
