"","x"
"636",187
"637",149
"638",1172
"639",204
"640",232
"641",169
"642",402
"643",165
"644",576
"645",570
"646",288
"647",290
"648",328
"649",250
"650",251
"651",162
"652",384
"653",482
"654",206
"655",170
"656",477
"657",548
"658",472
"659",425
"660",319
"661",554
"662",408
"663",235
"664",763
"665",539
"666",404
"667",488
"668",390
"669",351
"670",679
"671",467
"672",274
"673",529
"674",372
"675",161
"676",320
"677",233
"678",465
"679",401
"680",262
"681",305
"682",234
"683",464
"684",317
"685",263
"686",204
"687",231
"688",291
"689",539
"690",368
"691",493
"692",415
"693",491
"694",276
"695",338
"696",363
"697",532
"698",230
"699",363
"700",80
"701",66
"702",207
"703",225
"704",213
"705",505
"706",317
"707",399
"708",326
"709",315
"710",452
"711",327
"712",283
"713",327
"714",179
"715",297
"716",519
"717",350
"718",428
"719",385
"720",159
"721",566
"722",348
"723",362
"724",407
"725",546
"726",577
"727",364
"728",202
"729",142
"730",337
"731",232
"732",309
"733",746
"734",160
"735",472
"736",525
"737",483
"738",754
"739",610
"740",613
"741",144
"742",278
"743",328
"744",497
"745",328
"746",668
"747",527
"748",333
"749",1062
"750",329
"751",562
"752",785
"753",399
"754",138
"755",331
"756",369
"757",397
"758",360
"759",323
"760",715
"761",308
"762",234
"763",507
"764",207
"765",79
"766",293
"767",143
"768",178
"769",178
"770",331
"771",251
"772",591
"773",727
"774",192
"775",638
"776",277
"777",308
"778",266
"779",162
"780",140
"781",552
"782",341
"783",256
"784",265
"785",598
"786",381
"787",319
"788",280
"789",378
"790",169
"791",376
"792",585
"793",561
"794",58
"795",366
"796",1913
"797",343
"798",669
"799",459
"800",360
"801",345
"802",496
"803",1398
"804",1410
"805",637
"806",79
"807",643
"808",163
"809",305
"810",239
"811",395
"812",342
"813",87
"814",145
"815",742
"816",260
"817",131
"818",201
"819",328
"820",683
"821",170
"822",415
"823",1259
"824",232
"825",294
"826",288
"827",160
"828",435
"829",287
"830",144
"831",283
"832",882
"833",371
"834",369
"835",534
"836",220
"837",434
"838",155
"839",976
"840",430
"841",116
"842",673
"843",223
"844",599
"845",356
"846",631
"847",156
"848",201
"849",830
"850",421
"851",213
"852",330
"853",417
"854",435
"855",521
"856",241
"857",349
"858",290
"859",414
"860",27
"861",443
"862",177
"863",199
"864",253
"865",267
"866",377
"867",316
"868",374
"869",324
"870",509
"871",328
"872",273
"873",38
"874",276
"875",98
"876",515
"877",250
"878",588
"879",342
"880",421
"881",298
"882",279
"883",1480
"884",385
"885",585
"886",428
"887",330
"888",261
"889",572
"890",149
"891",627
"892",83
"893",79
"894",327
"895",697
"896",818
"897",229
"898",491
"899",449
"900",428
"901",357
"902",442
"903",341
"904",670
"905",496
"906",594
"907",586
"908",170
"909",370
"910",522
"911",243
"912",665
"913",647
"914",639
"915",502
"916",330
"917",602
"918",258
"919",350
"920",690
"921",115
"922",129
"923",207
"924",237
"925",383
"926",445
"927",516
"928",929
"929",700
"930",324
"931",30
"932",206
"933",299
"934",183
"935",226
"936",535
"937",135
"938",487
"939",116
"940",154
"941",936
"942",266
"943",637
"944",1120
"945",521
"946",190
"947",433
"948",712
"949",154
"950",462
"951",467
"952",409
"953",487
"954",515
"955",788
"956",575
"957",347
"958",219
"959",415
"960",543
"961",274
"962",220
"963",510
"964",150
"965",433
"966",442
"967",407
"968",237
"969",505
"970",199
"971",165
"972",114
"973",326
"974",275
"975",241
"976",395
"977",199
"978",94
"979",1110
"980",215
"981",309
"982",79
"983",238
"984",483
"985",440
"986",185
"987",250
"988",275
"989",638
"990",412
"991",26
"992",292
"993",351
"994",241
"995",560
"996",417
"997",221
"998",468
"999",290
"1000",461
"1001",274
"1002",187
"1003",572
"1004",175
"1005",436
"1006",61
"1007",461
"1008",429
"1009",203
"1010",215
"1011",388
"1012",299
"1013",180
"1014",274
"1015",369
"1016",558
"1017",988
"1018",198
"1019",51
"1020",345
"1021",718
