"","x"
"635",0
"636",72
"637",375
"638",0
"639",16
"640",11
"641",628
"642",725
"643",15
"644",72
"645",0
"646",234
"647",470
"648",45
"649",36
"650",44
"651",94
"652",41
"653",38
"654",521
"655",389
"656",260
"657",742
"658",33
"659",65
"660",447
"661",9
"662",39
"663",15
"664",34
"665",0
"666",543
"667",44
"668",6
"669",146
"670",128
"671",27
"672",48
"673",70
"674",0
"675",0
"676",59
"677",27
"678",11
"679",14
"680",0
"681",0
"682",336
"683",1191
"684",227
"685",178
"686",213
"687",2
"688",47
"689",110
"690",38
"691",27
"692",678
"693",79
"694",473
"695",32
"696",42
"697",30
"698",22
"699",47
"700",38
"701",117
"702",820
"703",16
"704",39
"705",0
"706",100
"707",70
"708",60
"709",26
"710",20
"711",441
"712",45
"713",349
"714",47
"715",62
"716",0
"717",10
"718",54
"719",45
"720",473
"721",49
"722",11
"723",22
"724",39
"725",101
"726",62
"727",133
"728",11
"729",57
"730",0
"731",44
"732",272
"733",981
"734",18
"735",53
"736",6
"737",31
"738",0
"739",344
"740",133
"741",60
"742",95
"743",315
"744",358
"745",0
"746",440
"747",122
"748",1015
"749",38
"750",88
"751",91
"752",90
"753",116
"754",172
"755",0
"756",39
"757",229
"758",10
"759",196
"760",40
"761",0
"762",47
"763",57
"764",88
"765",36
"766",0
"767",44
"768",0
"769",158
"770",36
"771",87
"772",39
"773",602
"774",93
"775",154
"776",49
"777",858
"778",50
"779",12
"780",0
"781",39
"782",106
"783",30
"784",10
"785",29
"786",10
"787",35
"788",87
"789",0
"790",84
"791",35
"792",46
"793",0
"794",15
"795",121
"796",45
"797",14
"798",113
"799",501
"800",56
"801",17
"802",668
"803",312
"804",394
"805",26
"806",283
"807",524
"808",256
"809",200
"810",431
"811",589
"812",39
"813",500
"814",0
"815",59
"816",276
"817",364
"818",36
"819",292
"820",377
"821",254
"822",353
"823",188
"824",723
"825",247
"826",323
"827",578
"828",559
"829",357
"830",461
"831",182
"832",157
"833",126
"834",396
"835",2
"836",574
"837",395
"838",289
"839",412
"840",190
"841",54
"842",595
"843",368
"844",171
"845",389
"846",252
"847",565
"848",174
"849",1646
"850",453
"851",274
"852",1606
"853",308
"854",329
"855",300
"856",252
"857",281
"858",15
"859",352
"860",348
"861",115
"862",234
"863",200
"864",127
"865",248
"866",164
"867",604
"868",567
"869",471
"870",40
"871",824
"872",426
"873",213
"874",462
"875",289
"876",275
"877",40
"878",2438
"879",341
"880",288
"881",210
"882",123
"883",403
"884",300
"885",341
"886",446
"887",224
"888",156
"889",697
"890",196
"891",378
"892",106
"893",129
"894",523
"895",592
"896",415
"897",959
"898",635
"899",292
"900",456
"901",812
"902",208
"903",257
"904",0
"905",567
"906",847
"907",142
"908",53
"909",18
"910",188
"911",494
"912",215
"913",1270
"914",36
"915",6
"916",105
"917",731
"918",190
"919",243
"920",388
"921",428
"922",457
"923",197
"924",49
"925",24
"926",251
"927",978
"928",55
"929",203
"930",742
"931",153
"932",274
"933",134
"934",712
"935",412
"936",183
"937",298
"938",409
"939",167
"940",349
"941",15
"942",113
"943",208
"944",173
"945",205
"946",228
"947",134
"948",120
"949",390
"950",294
"951",511
"952",599
"953",731
"954",233
"955",557
"956",0
"957",112
"958",644
"959",261
"960",554
"961",26
"962",292
"963",480
"964",327
"965",595
"966",382
"967",39
"968",126
"969",646
"970",199
"971",984
"972",547
"973",64
"974",560
"975",325
