"","term","topic1","topic10","topic11","topic12","topic13","topic14","topic15","topic16","topic17","topic18","topic19","topic2","topic20","topic21","topic22","topic23","topic24","topic25","topic3","topic4","topic5","topic6","topic7","topic8","topic9","log_ratio"
"38","cars",0.00240078923807732,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,5.63729635266926e-05,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,0.000136468288731681,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-8.52333674412754
"39","case",0.00240078923807732,4.10797398830871e-06,0.000213360093221949,3.30718651629992e-05,5.94251213758104e-06,5.31126679024214e-06,0.000161198903847454,5.5444973635915e-06,5.36195904535681e-06,0.000995922355638236,7.21662132222937e-06,6.52490228958822e-06,0.000923021906064399,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,0.000507046396680588,4.06093019667085e-06,0.00040676257096861,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-8.52333674412754
"40","celebrate",5.70258726384161e-06,4.51877138713958e-05,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,0.000368047687433697,0.00242073874943723,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,0.000311551106006426,9.11419170790839e-06,0.00120528790054214,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,8.72961505555966
"41","cell",0.00137432353058583,4.10797398830871e-06,2.3446164090324e-06,0.000213463856961177,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.71854965729111
"42","check",0.00108919416739375,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,0.00521035272122754,5.19996464024045e-06,5.5444973635915e-06,0.000916894996756015,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,0.00622351594539073,5.2932738369354e-06,0.000683552426611115,0.000100256108786992,0.000340938011707139,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,0.00261043380766596,3.97385923145563e-05,-7.38308914909689
"43","children",0.00211565987488524,0.00974000632627994,2.3446164090324e-06,0.00460300232405016,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,0.000227324391907251,5.36195904535681e-06,2.68442683460441e-06,0.000368047687433697,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,0.0104685450920641,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,5.28213820954723e-05,3.87058318076785e-06,4.06093019667085e-06,0.00298483520386826,0.000336952144577125,0.000855044479300562,3.6125993013233e-06,-8.34093569768195
"44","christmas",5.70258726384161e-06,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,0.0340665148539401,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,12.5444501222868
"45","circle",0.00126027178530899,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.71996110426449e-05,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,5.31583296686303e-05,4.4022028623123e-06,7.58040919048811e-06,0.000111158750575644,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,0.000234891062108634,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.59356288045258
"46","close",0.00171647876641632,0.0022634936675581,0.0013387759695575,0.000844835828254798,0.000184217876265012,5.84239346926636e-05,5.19996464024045e-06,0.00100355402281006,5.8981549498925e-05,2.68442683460441e-06,0.00022371526098911,7.17739251854704e-05,4.83257542442093e-06,0.00176528334778723,7.58040919048811e-06,5.2932738369354e-06,0.000110050390678887,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-4.57984837918355
"47","clutch",0.00108919416739375,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,5.36195904535681e-06,2.68442683460441e-06,7.21662132222937e-06,6.52490228958822e-06,4.83257542442093e-06,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,3.87058318076785e-06,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,-7.38308914909689
"48","colors",5.70258726384161e-06,4.10797398830871e-06,2.3446164090324e-06,3.00653319663629e-06,5.94251213758104e-06,5.31126679024214e-06,5.19996464024045e-06,5.5444973635915e-06,0.000112601139952493,2.68442683460441e-06,0.00108970981965663,0.00137675438310311,0.00135795369426228,4.4022028623123e-06,7.58040919048811e-06,5.2932738369354e-06,1.55000550251953e-06,9.11419170790839e-06,4.80194382686112e-06,0.000119988078603803,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,7.91543886764604
"49","come",0.000575961313648002,4.10797398830871e-06,0.00361305388631893,0.00415202234455472,5.94251213758104e-06,5.31126679024214e-06,0.000733195014273903,5.5444973635915e-06,5.36195904535681e-06,0.000136905768564825,0.00578051367910572,0.00359522116156311,0.000488090117866515,4.4022028623123e-06,0.00417680546395894,5.2932738369354e-06,0.00093155330701424,9.11419170790839e-06,4.80194382686112e-06,0.00190045634175701,4.06093019667085e-06,5.72905029533254e-06,8.21834498968598e-06,5.66254622053353e-06,3.6125993013233e-06,2.64203670475822
