"","V1"
"1899",7
"1900",22
"1901",10
"1902",22
"1903",22
"1904",4
"1905",2
"1906",9
"1907",14
"1908",10
"1909",22
"1910",9
"1911",22
"1912",22
"1913",4
"1914",10
"1915",22
"1916",16
"1917",9
"1918",12
"1919",22
"1920",22
"1921",23
"1922",9
"1923",22
"1924",15
"1925",9
"1926",4
"1927",22
"1928",22
"1929",9
"1930",10
"1931",5
"1932",9
"1933",10
"1934",20
"1935",13
"1936",22
"1937",9
"1938",10
"1939",2
"1940",22
"1941",12
"1942",10
"1943",21
"1944",10
"1945",22
"1946",22
"1947",22
"1948",22
"1949",21
"1950",10
"1951",22
"1952",22
"1953",4
"1954",22
"1955",21
"1956",9
"1957",22
"1958",21
"1959",2
"1960",10
"1961",5
"1962",5
"1963",10
"1964",7
"1965",22
"1966",4
"1967",2
"1968",22
"1969",9
"1970",22
"1971",11
"1972",22
"1973",6
"1974",10
"1975",7
"1976",9
"1977",20
"1978",2
"1979",10
"1980",24
"1981",10
"1982",17
"1983",6
"1984",22
"1985",16
"1986",10
"1987",22
"1988",9
"1989",2
"1990",10
"1991",7
"1992",19
"1993",4
"1994",20
"1995",10
"1996",10
"1997",9
